Line,Time,Value
line_1001_1081,1,0.0
line_1001_1081,2,0.0
line_1001_1081,3,0.0
line_1001_1081,4,0.0
line_1001_1081,5,0.0
line_1001_1081,6,0.0
line_1001_1081,7,0.0
line_1001_1081,8,-42.30115083342994
line_1001_1081,9,-116.75142336354466
line_1001_1081,10,-187.83830564542342
line_1001_1081,11,-207.79833606462816
line_1001_1081,12,-204.5330247218773
line_1001_1081,13,0.0
line_1001_1081,14,0.0
line_1001_1081,15,0.0
line_1001_1081,16,0.0
line_1001_1081,17,0.0
line_1001_1081,18,0.0
line_1001_1081,19,0.0
line_1001_1081,20,0.0
line_1001_1081,21,0.0
line_1001_1081,22,0.0
line_1001_1081,23,0.0
line_1001_1081,24,0.0
line_1001_6349,1,60.224198497133436
line_1001_6349,2,60.224198497133436
line_1001_6349,3,60.224198497133436
line_1001_6349,4,60.224198497133436
line_1001_6349,5,60.224198497133436
line_1001_6349,6,60.224198497133436
line_1001_6349,7,60.224198497133436
line_1001_6349,8,57.9886866758866
line_1001_6349,9,54.05417281380531
line_1001_6349,10,50.29740585721612
line_1001_6349,11,49.24256732267405
line_1001_6349,12,41.639761073239555
line_1001_6349,13,53.052625858016526
line_1001_6349,14,51.14832799905057
line_1001_6349,15,50.06717370170054
line_1001_6349,16,49.285459391659316
line_1001_6349,17,52.41518396629601
line_1001_6349,18,38.5367671671237
line_1001_6349,19,36.6472121420577
line_1001_6349,20,36.77409812584974
line_1001_6349,21,35.94539423623105
line_1001_6349,22,33.65208105408357
line_1001_6349,23,41.4512680614522
line_1001_6349,24,48.65044101266768
line_1001_5262,1,103.08502669140395
line_1001_5262,2,100.02924999556971
line_1001_5262,3,101.08395655446986
line_1001_5262,4,103.5578798659157
line_1001_5262,5,106.06247952836323
line_1001_5262,6,108.05743906132145
line_1001_5262,7,113.30513712428882
line_1001_5262,8,105.40389041561204
line_1001_5262,9,100.36665860978368
line_1001_5262,10,95.95474256455313
line_1001_5262,11,52.47450272674588
line_1001_5262,12,17.000756902388595
line_1001_5262,13,105.44440224467843
line_1001_5262,14,107.77496923717428
line_1001_5262,15,109.5345917562537
line_1001_5262,16,111.85189582366593
line_1001_5262,17,120.40748184291348
line_1001_5262,18,121.98623954023378
line_1001_5262,19,123.16681844718829
line_1001_5262,20,124.33344803166425
line_1001_5262,21,124.70248201322086
line_1001_5262,22,124.14350630476045
line_1001_5262,23,124.78067295029618
line_1001_5262,24,125.6522305551452
line_1081_5016,1,76.4402290569311
line_1081_5016,2,76.4402290569311
line_1081_5016,3,76.4402290569311
line_1081_5016,4,76.4402290569311
line_1081_5016,5,76.4402290569311
line_1081_5016,6,76.4402290569311
line_1081_5016,7,76.4402290569311
line_1081_5016,8,76.4402290569311
line_1081_5016,9,76.4402290569311
line_1081_5016,10,76.4402290569311
line_1081_5016,11,57.36680126058393
line_1081_5016,12,38.803955832406444
line_1081_5016,13,76.4402290569311
line_1081_5016,14,76.4402290569311
line_1081_5016,15,76.4402290569311
line_1081_5016,16,76.4402290569311
line_1081_5016,17,76.4402290569311
line_1081_5016,18,76.4402290569311
line_1081_5016,19,76.4402290569311
line_1081_5016,20,76.4402290569311
line_1081_5016,21,76.4402290569311
line_1081_5016,22,76.4402290569311
line_1081_5016,23,76.4402290569311
line_1081_5016,24,76.4402290569311
line_1081_4147,1,-84.92961625673843
line_1081_4147,2,-84.92961625673843
line_1081_4147,3,-84.92961625673843
line_1081_4147,4,-84.92961625673843
line_1081_4147,5,-84.92961625673843
line_1081_4147,6,-84.92961625673843
line_1081_4147,7,-84.92961625673843
line_1081_4147,8,-84.92961625673843
line_1081_4147,9,-84.92961625673843
line_1081_4147,10,-84.92961625673843
line_1081_4147,11,-50.413735703023455
line_1081_4147,12,-46.525711625210434
line_1081_4147,13,-35.31243911220417
line_1081_4147,14,-33.12577970742799
line_1081_4147,15,-32.02131119521774
line_1081_4147,16,-23.973611212741158
line_1081_4147,17,-31.817739873862866
line_1081_4147,18,-13.267465462426607
line_1081_4147,19,-16.96044456341876
line_1081_4147,20,-19.292558097908024
line_1081_4147,21,-17.466109002145252
line_1081_4147,22,-10.321060835246286
line_1081_4147,23,-21.514726664241262
line_1081_4147,24,-27.64125544625008
line_1081_5444,1,78.41548628033486
line_1081_5444,2,78.41548628033486
line_1081_5444,3,78.41548628033486
line_1081_5444,4,78.41548628033486
line_1081_5444,5,78.41548628033486
line_1081_5444,6,78.41548628033486
line_1081_5444,7,78.41548628033486
line_1081_5444,8,78.41548628033486
line_1081_5444,9,78.41548628033486
line_1081_5444,10,78.41548628033486
line_1081_5444,11,61.02482201985424
line_1081_5444,12,41.71948721119935
line_1081_5444,13,72.29900655797874
line_1081_5444,14,72.26669335593043
line_1081_5444,15,72.2633754668488
line_1081_5444,16,72.35047723557577
line_1081_5444,17,74.84667259370138
line_1081_5444,18,73.96296563461333
line_1081_5444,19,72.2240377037108
line_1081_5444,20,71.80386026994988
line_1081_5444,21,72.108201715972
line_1081_5444,22,73.54163010180802
line_1081_5444,23,74.07557122164894
line_1081_5444,24,74.53924896110516
line_1081_3006,1,0.0
line_1081_3006,2,0.0
line_1081_3006,3,0.0
line_1081_3006,4,0.0
line_1081_3006,5,0.0
line_1081_3006,6,0.0
line_1081_3006,7,0.0
line_1081_3006,8,0.0
line_1081_3006,9,0.0
line_1081_3006,10,0.0
line_1081_3006,11,25.91419830397982
line_1081_3006,12,51.13469158123138
line_1081_3006,13,-0.06475755334751981
line_1081_3006,14,-15.62190371086105
line_1081_3006,15,-27.01847563866846
line_1081_3006,16,-39.222244744740955
line_1081_3006,17,-60.7496711651029
line_1081_3006,18,-76.86450882386245
line_1081_3006,19,-86.15937930131368
line_1081_3006,20,-94.35589122057002
line_1081_3006,21,-97.53377118674905
line_1081_3006,22,-95.12587321339385
line_1081_3006,23,-95.43231327738896
line_1081_3006,24,-98.1057794366409
line_1081_5008,1,91.45444982618473
line_1081_5008,2,90.86469935854686
line_1081_5008,3,91.08041755350308
line_1081_5008,4,91.58959980799966
line_1081_5008,5,92.1462317266859
line_1081_5008,6,92.6553841704388
line_1081_5008,7,93.43397296405647
line_1081_5008,8,93.43281015978323
line_1081_5008,9,94.51642239778539
line_1081_5008,10,95.59834615724415
line_1081_5008,11,69.92197591141972
line_1081_5008,12,42.751666485305364
line_1081_5008,13,87.96229631739891
line_1081_5008,14,90.85336403580948
line_1081_5008,15,93.0357049990827
line_1081_5008,16,95.55105884312553
line_1081_5008,17,102.72289990804379
line_1081_5008,18,103.3171526838672
line_1081_5008,19,104.43810622222607
line_1081_5008,20,106.01658531122374
line_1081_5008,21,106.57507218717834
line_1081_5008,22,105.99940388433868
line_1081_5008,23,107.62383722536221
line_1081_5008,24,109.59129409484348
line_1081_6349,1,74.59853321173324
line_1081_6349,2,74.59853321173324
line_1081_6349,3,74.59853321173324
line_1081_6349,4,74.59853321173324
line_1081_6349,5,74.59853321173324
line_1081_6349,6,74.59853321173324
line_1081_6349,7,74.59853321173324
line_1081_6349,8,74.59853321173324
line_1081_6349,9,74.59853321173324
line_1081_6349,10,74.59853321173324
line_1081_6349,11,74.59853321173324
line_1081_6349,12,64.9673350202159
line_1081_6349,13,65.71524687418263
line_1081_6349,14,63.3564304744282
line_1081_6349,15,62.017225856176395
line_1081_6349,16,61.048931675848316
line_1081_6349,17,64.92566010812004
line_1081_6349,18,47.73473748307904
line_1081_6349,19,45.39418274245442
line_1081_6349,20,45.551353921352955
line_1081_6349,21,44.52485467063475
line_1081_6349,22,41.684172621682656
line_1081_6349,23,51.34487256476948
line_1081_6349,24,60.26234686745899
line_1081_5262,1,101.93099404927669
line_1081_5262,2,98.90942664811143
line_1081_5262,3,99.95232581038083
line_1081_5262,4,102.3985536519106
line_1081_5262,5,104.87511442395189
line_1081_5262,6,106.84774046683255
line_1081_5262,7,112.03669076540518
line_1081_5262,8,109.8685292796241
line_1081_5262,9,114.82227276400498
line_1081_5262,10,119.94552357126575
line_1081_5262,11,79.61549342459826
line_1081_5262,12,44.10315424429548
line_1081_5262,13,104.26395649008474
line_1081_5262,14,106.5684328807715
line_1081_5262,15,108.30835649798273
line_1081_5262,16,110.59971844148662
line_1081_5262,17,119.05952502645904
line_1081_5262,18,120.6206085961665
line_1081_5262,19,121.78797097072089
line_1081_5262,20,122.94154018488928
line_1081_5262,21,123.30644284617136
line_1081_5262,22,122.75372484782096
line_1081_5262,23,123.38375843891589
line_1081_5262,24,124.24555899215642
line_2001_5016,1,-4.389152828195051
line_2001_5016,2,-4.299159691310166
line_2001_5016,3,-4.367437074001245
line_2001_5016,4,-4.537342871690598
line_2001_5016,5,-4.835221729046339
line_2001_5016,6,-5.2737439675734805
line_2001_5016,7,-5.162241506353752
line_2001_5016,8,-5.291122281035783
line_2001_5016,9,-5.0701573948849585
line_2001_5016,10,-4.859716090778697
line_2001_5016,11,-6.358156869854589
line_2001_5016,12,-3.1441387593867383
line_2001_5016,13,2.7084636716271433
line_2001_5016,14,2.632713739256033
line_2001_5016,15,2.6631985029176235
line_2001_5016,16,2.969658786261661
line_2001_5016,17,0.9713256438526514
line_2001_5016,18,1.1850856162380836
line_2001_5016,19,1.4874296044474278
line_2001_5016,20,1.6588961151334871
line_2001_5016,21,1.6799668823768172
line_2001_5016,22,1.5026233877482298
line_2001_5016,23,1.4616822844545538
line_2001_5016,24,1.4561689771940678
line_2001_5465,1,1.0566556838714831
line_2001_5465,2,1.0095290698832429
line_2001_5465,3,1.0133910294715207
line_2001_5465,4,1.0192052602960189
line_2001_5465,5,0.9831325741988621
line_2001_5465,6,0.8873231953082552
line_2001_5465,7,0.8657725345578982
line_2001_5465,8,0.7884704776379863
line_2001_5465,9,0.8247182168628058
line_2001_5465,10,0.8357903335556074
line_2001_5465,11,0.5419692375336496
line_2001_5465,12,4.160189859549725
line_2001_5465,13,5.0028082279497
line_2001_5465,14,4.856495954115985
line_2001_5465,15,4.871151108444437
line_2001_5465,16,5.343754108543877
line_2001_5465,17,5.11070665812829
line_2001_5465,18,5.01672145930395
line_2001_5465,19,5.0057102819321955
line_2001_5465,20,5.064965332092257
line_2001_5465,21,5.09857824447721
line_2001_5465,22,5.113189991986474
line_2001_5465,23,5.232148004594145
line_2001_5465,24,5.363472282646385
line_2001_5449,1,0.029224574042935103
line_2001_5449,2,-0.00984967542439108
line_2001_5449,3,-0.003858725485308412
line_2001_5449,4,0.008239845394832912
line_2001_5449,5,-0.004875965714276731
line_2001_5449,6,-0.055856588871598944
line_2001_5449,7,-0.07735120281258112
line_2001_5449,8,-0.13683026909587426
line_2001_5449,9,-0.12004972948128056
line_2001_5449,10,-0.12148814781506445
line_2001_5449,11,-0.20494760296629977
line_2001_5449,12,1.8623241905296162
line_2001_5449,13,2.0323967813945245
line_2001_5449,14,1.952278068091438
line_2001_5449,15,1.9620309276683372
line_2001_5449,16,2.2361152386263754
line_2001_5449,17,2.1717189058646977
line_2001_5449,18,2.0483284833770226
line_2001_5449,19,2.0163929387697053
line_2001_5449,20,2.0537198279478943
line_2001_5449,21,2.073285540487383
line_2001_5449,22,2.079391570771328
line_2001_5449,23,2.198859938932262
line_2001_5449,24,2.3170246748514596
line_2001_5444,1,-9.09384988562795
line_2001_5444,2,-8.90739384055741
line_2001_5444,3,-9.048857191929748
line_2001_5444,4,-9.400883626044635
line_2001_5444,5,-10.018056396946996
line_2001_5444,6,-10.926627040256442
line_2001_5444,7,-10.69560600181987
line_2001_5444,8,-10.962633025935569
line_2001_5444,9,-10.504817683575865
line_2001_5444,10,-10.068806064911996
line_2001_5444,11,-9.1874754044543
line_2001_5444,12,-3.0098771194083334
line_2001_5444,13,-5.594256789016562
line_2001_5444,14,-5.810402933860258
line_2001_5444,15,-5.753320450368214
line_2001_5444,16,-4.958790194504633
line_2001_5444,17,-4.525882400053022
line_2001_5444,18,-5.702019648698065
line_2001_5444,19,-8.261456485264041
line_2001_5444,20,-8.6759964950005
line_2001_5444,21,-8.074761254378565
line_2001_5444,22,-5.816037540481032
line_2001_5444,23,-4.922638452639337
line_2001_5444,24,-4.084565171605258
line_2001_5323,1,1.32915538049906
line_2001_5323,2,1.2765686933351788
line_2001_5323,3,1.2853670804746429
line_2001_5323,4,1.3035682169091274
line_2001_5323,5,1.290347005569501
line_2001_5323,6,1.2292437296853933
line_2001_5323,7,1.1782173902322546
line_2001_5323,8,1.103387236499529
line_2001_5323,9,1.104695708197852
line_2001_5323,10,1.0794463008766826
line_2001_5323,11,0.9480978437173917
line_2001_5323,12,4.45218069687278
line_2001_5323,13,4.806412703213439
line_2001_5323,14,4.6512030835494045
line_2001_5323,15,4.652934152852865
line_2001_5323,16,5.112508762598338
line_2001_5323,17,4.994467094806515
line_2001_5323,18,4.851766790850419
line_2001_5323,19,4.853675774642355
line_2001_5323,20,4.914217405114968
line_2001_5323,21,4.9311736064556015
line_2001_5323,22,4.898948912107336
line_2001_5323,23,5.0464618440352265
line_2001_5323,24,5.192137300320084
line_2001_5351,1,2.6110638127754235
line_2001_5351,2,2.523853734786101
line_2001_5351,3,2.5346474046481333
line_2001_5351,4,2.55495590456972
line_2001_5351,5,2.5101524835434645
line_2001_5351,6,2.3700616428671992
line_2001_5351,7,1.8652600596629938
line_2001_5351,8,1.7378790053550932
line_2001_5351,9,1.392680932574379
line_2001_5351,10,0.9412792487024362
line_2001_5351,11,0.9361475072839704
line_2001_5351,12,7.99787098173951
line_2001_5351,13,7.779016086692881
line_2001_5351,14,7.42018946538268
line_2001_5351,15,7.398460053418078
line_2001_5351,16,8.302380061396422
line_2001_5351,17,8.266307142044603
line_2001_5351,18,7.667848541573582
line_2001_5351,19,7.465893057948172
line_2001_5351,20,7.537726084607648
line_2001_5351,21,7.591487279244079
line_2001_5351,22,7.653190582371188
line_2001_5351,23,8.108218309240655
line_2001_5351,24,8.550037415829431
line_2001_5305,1,1.6896483287337247
line_2001_5305,2,1.634125200972269
line_2001_5305,3,1.6377882715713739
