Generator,Type,Time,Value
ODESSA_NG,Gas,4,0.0
ODESSA_NG,Gas,5,0.0
ODESSA_NG,Gas,6,0.0
ODESSA_NG,Gas,7,0.0
ODESSA_NG,Gas,8,0.0
ODESSA_NG,Gas,9,0.0
ODESSA_NG,Gas,10,0.0
ODESSA_NG,Gas,11,0.0
ODESSA_NG,Gas,12,0.0
ODESSA_NG,Gas,13,0.0
ODESSA_NG,Gas,14,0.0
ODESSA_NG,Gas,15,0.0
ODESSA_NG,Gas,16,0.0
ODESSA_NG,Gas,17,0.0
ODESSA_NG,Gas,18,0.0
ODESSA_NG,Gas,19,0.0
ODESSA_NG,Gas,20,0.0
ODESSA_NG,Gas,21,0.0
ODESSA_NG,Gas,22,0.0
ODESSA_NG,Gas,23,0.0
ODESSA_NG,Gas,24,0.0
ODESSA_NG_3,Gas,1,0.0
ODESSA_NG_3,Gas,2,0.0
ODESSA_NG_3,Gas,3,0.0
ODESSA_NG_3,Gas,4,0.0
ODESSA_NG_3,Gas,5,0.0
ODESSA_NG_3,Gas,6,0.0
ODESSA_NG_3,Gas,7,0.0
ODESSA_NG_3,Gas,8,0.0
ODESSA_NG_3,Gas,9,0.0
ODESSA_NG_3,Gas,10,0.0
ODESSA_NG_3,Gas,11,0.0
ODESSA_NG_3,Gas,12,0.0
ODESSA_NG_3,Gas,13,0.0
ODESSA_NG_3,Gas,14,0.0
ODESSA_NG_3,Gas,15,0.0
ODESSA_NG_3,Gas,16,0.0
ODESSA_NG_3,Gas,17,582.5771797978019
ODESSA_NG_3,Gas,18,1337.7439670074182
ODESSA_NG_3,Gas,19,1337.7439670074182
ODESSA_NG_3,Gas,20,1337.7439670074182
ODESSA_NG_3,Gas,21,1337.7439670074182
ODESSA_NG_3,Gas,22,1337.7439670074182
ODESSA_NG_3,Gas,23,1333.1621928138698
ODESSA_NG_3,Gas,24,1224.5253264253372
ODESSA_NG_4,Gas,1,48.125000005
ODESSA_NG_4,Gas,2,48.125000005
ODESSA_NG_4,Gas,3,48.125000005
ODESSA_NG_4,Gas,4,48.125000005
ODESSA_NG_4,Gas,5,48.125000005
ODESSA_NG_4,Gas,6,0.0
ODESSA_NG_4,Gas,7,30.650000004999995
ODESSA_NG_4,Gas,8,30.650000004999995
ODESSA_NG_4,Gas,9,30.650000004999995
ODESSA_NG_4,Gas,10,30.650000004999995
ODESSA_NG_4,Gas,11,30.650000004999995
ODESSA_NG_4,Gas,12,30.650000004999995
ODESSA_NG_4,Gas,13,30.650000004999995
ODESSA_NG_4,Gas,14,30.650000004999995
ODESSA_NG_4,Gas,15,30.650000004999995
ODESSA_NG_4,Gas,16,30.650000004999995
ODESSA_NG_4,Gas,17,30.650000004999995
ODESSA_NG_4,Gas,18,30.650000004999995
ODESSA_NG_4,Gas,19,30.650000004999995
ODESSA_NG_4,Gas,20,30.650000004999995
ODESSA_NG_4,Gas,21,30.650000004999995
ODESSA_NG_4,Gas,22,30.650000004999995
ODESSA_NG_4,Gas,23,30.650000004999995
ODESSA_NG_4,Gas,24,30.650000004999995
SILVER_NG,Gas,1,43.325000005
SILVER_NG,Gas,2,43.325000005
SILVER_NG,Gas,3,43.325000005
SILVER_NG,Gas,4,43.325000005
SILVER_NG,Gas,5,43.325000005
SILVER_NG,Gas,6,0.0
SILVER_NG,Gas,7,25.850000005
SILVER_NG,Gas,8,25.850000005
SILVER_NG,Gas,9,25.850000005
SILVER_NG,Gas,10,25.850000005
SILVER_NG,Gas,11,25.850000005
SILVER_NG,Gas,12,25.850000005
SILVER_NG,Gas,13,25.850000005
SILVER_NG,Gas,14,25.850000005
SILVER_NG,Gas,15,25.850000005
SILVER_NG,Gas,16,25.850000005
SILVER_NG,Gas,17,25.850000005
SILVER_NG,Gas,18,25.850000005
SILVER_NG,Gas,19,25.850000005
SILVER_NG,Gas,20,25.850000005
SILVER_NG,Gas,21,25.850000005
SILVER_NG,Gas,22,25.850000005
SILVER_NG,Gas,23,25.850000005
SILVER_NG,Gas,24,25.850000005
PALOPINTO_NG,Gas,1,475.5639670074182
PALOPINTO_NG,Gas,2,475.5639670074182
PALOPINTO_NG,Gas,3,475.5639670074182
PALOPINTO_NG,Gas,4,475.5639670074182
PALOPINTO_NG,Gas,5,475.5639670074182
PALOPINTO_NG,Gas,6,474.10970820838486
PALOPINTO_NG,Gas,7,475.5639670074182
PALOPINTO_NG,Gas,8,475.5639670074182
PALOPINTO_NG,Gas,9,475.5639670074182
PALOPINTO_NG,Gas,10,475.5639670074182
PALOPINTO_NG,Gas,11,475.5639670074182
PALOPINTO_NG,Gas,12,475.5639670074182
PALOPINTO_NG,Gas,13,475.5639670074182
PALOPINTO_NG,Gas,14,475.5639670074182
PALOPINTO_NG,Gas,15,475.5639670074182
PALOPINTO_NG,Gas,16,475.5639670074182
PALOPINTO_NG,Gas,17,475.5639670074182
PALOPINTO_NG,Gas,18,475.5639670074182
PALOPINTO_NG,Gas,19,475.5639670074182
PALOPINTO_NG,Gas,20,475.5639670074182
PALOPINTO_NG,Gas,21,475.5639670074182
PALOPINTO_NG,Gas,22,475.5639670074182
PALOPINTO_NG,Gas,23,470.98219281386986
PALOPINTO_NG,Gas,24,470.98219281386986
SAVOY_NG,Gas,1,0.0
SAVOY_NG,Gas,2,0.0
SAVOY_NG,Gas,3,0.0
SAVOY_NG,Gas,4,0.0
